"Item","Type","Status","Estimated SP","Github Evidence","Completed Date"
"[HRIS] Wizard Validation step shows the full per-person calculation with red and amber flags","Feature","Done","5","4490333 83ef2e9 b3adf4c 851a0ab 1452b53 d39ff41 ba33b4b 0b66a8e 993dfb4 5eb2e1a fac504e 237696c 4ab5714 | https://github.com/Simple-biz/simple-hris/commit/4ab5714","2026-08-11"
"[HRIS] Close Pay Cycle from the Stop dialog — permanent close-out record naming who was left unpaid","Feature","Done","5","275619c | https://github.com/Simple-biz/simple-hris/commit/275619c","2026-08-11"
"[HRIS] Configurable Tech Bonus payout week (System Bonus modal, Sun–Sat) wired to every gate + KPI bonuses in the employee Estimated Take-Home","Feature","Done","5","2b0935e 9440650 9c6a97d b3e66e2 97e9c9b 25c435c a0de67c | https://github.com/Simple-biz/simple-hris/commit/a0de67c","2026-08-11"
"[HRIS] Wizard week selector replays that week's own bonuses, monthly HSL period and readiness instead of today's","Bug","Done","5","54e91a1 c207482 7124ed6 a29c93c | https://github.com/Simple-biz/simple-hris/commit/a29c93c","2026-08-11"
"[HRIS] Bank rail parity: People, wizard preview, Urgent cards and the bank-update form resolve the rail Payment Dispatch actually pays on; USD bucket retired","Bug","Done","5","265eb64 684b305 b13530d a7ecd4c | https://github.com/Simple-biz/simple-hris/commit/a7ecd4c","2026-08-11"
"[HRIS] Disbursement report, contractor and app-settings API routes gated by matching role — 2026-08-10 SECURITY_AUDIT re-verify","Bug","Done","5","a7ecd4c | https://github.com/Simple-biz/simple-hris/commit/a7ecd4c","2026-08-11"
"[HRIS] Eleven departments permanently retired from the KPI Calculator + Callback accepts external members","Feature","Done","3","1a133ca 7d14e04 | https://github.com/Simple-biz/simple-hris/commit/7d14e04","2026-08-11"
"[HRIS] HSL pay = the Hogan sheet column AN verbatim — hogan-week-pay becomes the single rate authority, reversing the 2026-08-07 weekend-OT removal","Feature","Pending Deploy","8","5eb398a 362b41c e0028b8 | https://github.com/Simple-biz/simple-hris/commit/e0028b8",""
"[HRIS] One merged Weekend Hours line + dated rate-change disclosure on statement, email and export","Feature","Pending Deploy","5","0a731ed c97d0b5 | https://github.com/Simple-biz/simple-hris/commit/c97d0b5",""
"[HRIS] Paystub email HTML rendered in-app (n8n Gmail becomes a pipe) + System Bonus snapshot columns on payment_dispatches","Feature","Pending Deploy","8","02dc5aa | https://github.com/Simple-biz/simple-hris/commit/02dc5aa",""
"[HRIS] Offboarding is delete-only: suspend is its own path, suspended-person offboards escalate to delete, and leavers get a correct final check","Feature","Pending Deploy","8","3502e93 28cb65d 0b66a8e 2020a74 5379204 ad60b94 ccc74c2 d259040 8497699 | https://github.com/Simple-biz/simple-hris/commit/8497699",""
"[HRIS] One HSL department + required sub-department that sets the base rate, wired through the Payment Catalog","Feature","Pending Deploy","8","882542e 02dc5aa e70757d 06bad5e 7b46843 b96897a 289ab7e e170147 83ecb2f | https://github.com/Simple-biz/simple-hris/commit/83ecb2f",""
